"PLT_CN","LON_PUBLIC","LAT_PUBLIC","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_ID","COUNTYFIPS"
"40416127010690",-105.599537,41.913972,56,2,1,86421,"PID560200186421","56001"
"40416128010690",-105.421944,41.913612,56,2,1,86226,"PID560200186226","56001"
"40416129010690",-105.363689,41.913505,56,2,1,86529,"PID560200186529","56001"
"40416130010690",-106.019102,41.863544,56,2,1,83608,"PID560200183608","56001"
"40416131010690",-105.962245,41.867941,56,2,1,85138,"PID560200185138","56001"
"40416132010690",-105.909415,41.863099,56,2,1,87644,"PID560200187644","56001"
"40416133010690",-105.838988,41.863918,56,2,1,80037,"PID560200180037","56001"
"40416134010690",-105.718977,41.862653,56,2,1,81949,"PID560200181949","56001"
"40416135010690",-105.667968,41.864945,56,2,1,81334,"PID560200181334","56001"
"40416136010690",-105.544197,41.871799,56,2,1,80150,"PID560200180150","56001"
"40416137010690",-105.483304,41.868735,56,2,1,89658,"PID560200189658","56001"
"40416138010690",-105.358269,41.872952,56,2,1,90404,"PID560200190404","56001"
"40416139010690",-105.301456,41.866196,56,2,1,84546,"PID560200184546","56001"
"40416140010690",-106.019218,41.818752,56,2,1,87731,"PID560200187731","56001"
"40416141010690",-105.856814,41.817174,56,2,1,86872,"PID560200186872","56001"
"40416142010690",-105.780302,41.824774,56,2,1,83801,"PID560200183801","56001"
"40416143010690",-105.725023,41.817808,56,2,1,88659,"PID560200188659","56001"
"40416144010690",-105.662025,41.825844,56,2,1,87312,"PID560200187312","56001"
"40416145010690",-105.548311,41.821532,56,2,1,81819,"PID560200181819","56001"
"40416146010690",-105.483198,41.824209,56,2,1,90512,"PID560200190512","56001"
"40416147010690",-105.425241,41.824776,56,2,1,87874,"PID560200187874","56001"
"40416148010690",-105.357552,41.82293,56,2,1,83172,"PID560200183172","56001"
"40416149010690",-105.303283,41.822955,56,2,1,81008,"PID560200181008","56001"
"40416150010690",-106.028858,41.769482,56,2,1,80805,"PID560200180805","56001"
"40416151010690",-105.845999,41.778657,56,2,1,89442,"PID560200189442","56001"
"40416152010690",-105.783692,41.773696,56,2,1,82650,"PID560200182650","56001"
"40416153010690",-105.730037,41.767952,56,2,1,80055,"PID560200180055","56001"
"40416154010690",-105.542595,41.781912,56,2,1,85492,"PID560200185492","56001"
"40416155010690",-105.483928,41.781591,56,2,1,90117,"PID560200190117","56001"
"40416156010690",-106.018278,41.727432,56,2,1,85689,"PID560200185689","56001"
"40416157010690",-105.967817,41.732697,56,2,1,85104,"PID560200185104","56001"
"40416158010690",-105.899767,41.734375,56,2,1,83341,"PID560200183341","56001"
"40416159010690",-105.847811,41.726107,56,2,1,89500,"PID560200189500","56001"
"40416160010690",-105.660379,41.731698,56,2,1,81897,"PID560200181897","56001"
"40416161010690",-105.601634,41.732768,56,2,1,86493,"PID560200186493","56001"
"40416162010690",-105.546319,41.727542,56,2,1,88052,"PID560200188052","56001"
"40416163010690",-105.360327,41.732316,56,2,1,83571,"PID560200183571","56001"
"40416164010690",-105.295464,41.732427,56,2,1,86261,"PID560200186261","56001"
"40416165010690",-106.02057,41.684446,56,2,1,80393,"PID560200180393","56001"
"40416166010690",-105.902982,41.682576,56,2,1,87266,"PID560200187266","56001"
"40416167010690",-105.724363,41.683505,56,2,1,86104,"PID560200186104","56001"
"40416168010690",-105.671577,41.694969,56,2,1,88038,"PID560200188038","56001"
"40416169010690",-105.601092,41.688406,56,2,1,89013,"PID560200189013","56001"
"40416170010690",-105.539567,41.691867,56,2,1,87588,"PID560200187588","56001"
"40416171010690",-105.422267,41.688012,56,2,1,82897,"PID560200182897","56001"
"40416172010690",-105.356372,41.688424,56,2,1,85724,"PID560200185724","56001"
"40416173010690",-105.301151,41.687947,56,2,1,81472,"PID560200181472","56001"
"40416174010690",-106.020403,41.640779,56,2,1,82494,"PID560200182494","56001"
